Kontingenttype;Pr. måned;Note
Normaltansat over 19 timer;694;
Selvstændig;694;
Ph.d. studerende;694;
1 og 2 års Kandidater;347;
Normaltansat under 20 timer;312;
Udland DP;312;
Anden forhandlingsret;312;anden organisation har forhandlingsretten
DLF og DLF ret;312;antaget: som anden forhandlingsret — bekræft
DLF og DP ret;694;antaget: DP har forhandlingsretten — bekræft
Ledig DP;272;
Efterløn DP;272;
Orlov uden løn DP;272;
Med løntilskud;272;
Ledig ikke ret til dagpenge;35;ledige på kontanthjælp
Studerende DP;35;
Psykologistuderende;35;udgået kategori
Pensionist DP;;sats mangler
Pensionist DP - Udland;;sats mangler
Æresmedlem;0;
DM1 Mag. art.;;sats mangler
DP medlem;;sats mangler, udgået kategori
